"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.220227700E-2,2.370000184E-1,9.354000092E0,1.422000051E0
1.470843500E-2,2.400000021E-2,9.067049980E0,1.054949999E0
1.721520400E-2,-2.820000052E-1,9.570000648E0,8.520000577E-1
1.972282400E-2,-4.249500334E-1,1.020900059E1,8.590500355E-1
2.222967000E-2,-5.790000558E-1,1.023495007E1,1.090950012E0
2.473578500E-2,-6.070500016E-1,9.519000053E0,1.570050120E0
2.724263100E-2,-4.039500058E-1,8.751000404E0,1.963050127E0
2.975032300E-2,-1.140000075E-1,8.689050674E0,2.266950130E0
3.225733000E-2,9.300000221E-2,9.349050522E0,2.700000048E0
3.476325300E-2,3.040500283E-1,1.022295094E1,2.940000057E0
3.727025100E-2,4.309500158E-1,1.055400085E1,2.680950165E0
3.977771300E-2,3.690000176E-1,1.010595036E1,2.403000116E0
4.228471500E-2,3.450000286E-1,9.164999962E0,1.864950061E0
4.479063800E-2,2.850000262E-1,8.578050613E0,1.189050078E0
4.729763600E-2,1.480500102E-1,8.995050430E0,1.125000000E0
4.980532800E-2,-4.050000105E-3,1.007505035E1,1.216050029E0
5.231209900E-2,-1.189500093E-1,1.083900070E1,1.194000006E0
5.481802300E-2,-2.269500047E-1,1.062795067E1,1.201050043E0
5.732502000E-2,-2.599500120E-1,9.526950836E0,1.185000062E0
5.983271200E-2,-2.190000117E-1,8.622000694E0,1.197000027E0
6.233948800E-2,-1.840500087E-1,8.727000237E0,1.704000115E0
6.484564200E-2,-9.705000371E-2,9.639000893E0,2.298000097E0
6.735240900E-2,4.500000179E-2,1.037895012E1,2.542050123E0
6.986006800E-2,1.750500053E-1,1.022805023E1,2.587950230E0
7.236691600E-2,2.730000019E-1,9.369000435E0,2.509050131E0
7.487296400E-2,3.760500252E-1,8.755949974E0,2.281050205E0
7.737973100E-2,3.730500042E-1,9.032999992E0,2.086950064E0
7.988740300E-2,2.560500205E-1,9.910050392E0,1.927050114E0
8.239425100E-2,1.200000048E-1,1.055100060E1,1.576950073E0
8.490032800E-2,-1.120500043E-1,1.042905045E1,1.170000076E0
8.740717200E-2,-2.599500120E-1,9.676950455E0,9.019500613E-1
8.991478800E-2,-2.820000052E-1,8.892000198E0,6.559500098E-1
9.242163600E-2,-2.700000107E-1,8.775000572E0,8.659500480E-1
9.492771300E-2,-2.389500141E-1,9.462000847E0,1.636950135E0
9.743455700E-2,-1.140000075E-1,1.026195049E1,2.188050032E0
9.994224900E-2,2.400000021E-2,1.053705025E1,2.419950008E0
1.024490210E-1,9.795000404E-2,1.000305080E1,2.674050093E0
1.049550980E-1,2.869500220E-1,9.072000504E0,2.482050180E0
1.074619570E-1,3.690000176E-1,8.647950172E0,2.095050097E0
1.099696490E-1,3.010500073E-1,9.196050644E0,2.089950085E0
1.124764200E-1,2.010000050E-1,1.011600018E1,1.996050119E0
1.149825640E-1,7.905000448E-2,1.046805096E1,1.551000118E0
1.174893310E-1,-3.000000119E-2,1.000305080E1,1.273050070E0
1.199970240E-1,-1.000500023E-1,9.121950150E0,1.063050032E0
1.225040400E-1,-7.304999977E-2,8.723999977E0,9.690000415E-1
1.250099630E-1,-1.399500072E-1,9.349050522E0,1.366950035E0
1.275167060E-1,-1.669500023E-1,1.034505081E1,1.857000113E0
1.300243980E-1,-1.330500096E-1,1.077900028E1,2.047049999E0
1.325314000E-1,-9.705000371E-2,1.016295052E1,2.118000031E0
1.350373230E-1,9.000000544E-3,9.105000496E0,2.025000095E0
1.375443210E-1,2.250000089E-1,8.485050201E0,1.896000147E0
1.400517830E-1,2.989500165E-1,8.868000031E0,2.017950058E0
1.425587850E-1,3.450000286E-1,9.819000244E0,2.218950033E0
1.450647080E-1,3.250500262E-1,1.051995087E1,2.158950090E0
1.475717060E-1,1.819500029E-1,1.038795090E1,1.897950053E0
1.500793980E-1,4.950000439E-3,9.586050034E0,1.594050050E0
1.525861600E-1,-1.140000075E-1,8.855999947E0,1.228050113E0
1.550923130E-1,-2.479500175E-1,8.950050354E0,1.228050113E0
1.575990810E-1,-3.769500256E-1,9.744000435E0,1.503000021E0
1.601067730E-1,-3.220500052E-1,1.038795090E1,1.588950038E0
1.626135440E-1,-2.749500275E-1,1.027395058E1,1.639950037E0
1.651197030E-1,-1.260000020E-1,9.538950920E0,1.893000126E0
1.676264700E-1,1.459500045E-1,8.775000572E0,1.927050114E0
