"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.470841500E-2,3.547500074E-2,5.293750018E-2,-2.997500077E-2
1.721520800E-2,1.374999993E-3,8.222500235E-2,-3.616249934E-2
1.972282400E-2,-1.938750036E-2,5.898749828E-2,-4.097500071E-2
2.222970800E-2,-3.038750030E-2,-1.182499994E-2,-2.516249940E-2
2.473578500E-2,-4.509999976E-2,-6.682500243E-2,-1.924999990E-3
2.724263100E-2,-6.091250107E-2,-6.558749825E-2,1.526249945E-2
2.975032800E-2,-6.957499683E-2,-3.506249934E-2,2.736249939E-2
3.225732800E-2,-5.733750015E-2,3.987499978E-3,2.612499893E-2
3.476325300E-2,-2.186249942E-2,2.364999987E-2,1.759999990E-2
3.727025100E-2,2.213750035E-2,1.649999991E-3,9.074999951E-3
3.977771300E-2,6.366249919E-2,-3.011249937E-2,1.031249948E-2
4.228471500E-2,8.071249723E-2,-2.158750035E-2,5.362499971E-3
4.479063800E-2,6.971249729E-2,8.937500417E-3,-1.924999990E-3
4.729763600E-2,4.537500069E-2,3.698749840E-2,-9.212499484E-3
4.980532800E-2,1.842499897E-2,5.898749828E-2,-2.021249942E-2
5.231209900E-2,3.712499980E-3,4.069999978E-2,-1.773750037E-2
5.481802200E-2,-3.574999981E-3,-6.874999963E-3,-9.212499484E-3
5.732502000E-2,-9.624999948E-3,-3.382499889E-2,5.499999970E-4
5.983271200E-2,-2.914999984E-2,-3.506249934E-2,1.787499990E-3
6.233948800E-2,-5.486249924E-2,-1.677500084E-2,-3.162499983E-3
6.484564200E-2,-6.957499683E-2,5.224999972E-3,-5.637499969E-3
6.735237500E-2,-5.609999970E-2,3.987499978E-3,5.499999970E-4
6.986006800E-2,-2.062499896E-2,-2.777500078E-2,1.759999990E-2
7.236688700E-2,1.471249945E-2,-3.863750026E-2,2.378750034E-2
7.487296400E-2,3.313750029E-2,-2.158750035E-2,1.636249945E-2
7.737973100E-2,3.795000166E-2,8.937500417E-3,5.362499971E-3
7.988740300E-2,4.647500068E-2,4.441250116E-2,-1.416249946E-2
8.239425100E-2,6.118749827E-2,5.541250110E-2,-2.268750034E-2
8.490032800E-2,6.489999592E-2,2.846249938E-2,-1.773750037E-2
8.740717200E-2,4.647500068E-2,-2.062499989E-3,-7.974999957E-3
8.991478800E-2,8.662499487E-3,-9.349999949E-3,-3.162499983E-3
9.242163600E-2,-4.386249930E-2,-1.306249946E-2,-3.162499983E-3
9.492771300E-2,-7.933750004E-2,-8.112499490E-3,-1.924999990E-3
9.743455700E-2,-8.538749814E-2,-3.299999982E-3,-4.399999976E-3
9.994224900E-2,-6.215000153E-2,-2.406249940E-2,9.074999951E-3
1.024490210E-1,-2.433750033E-2,-4.729999974E-2,2.131249942E-2
1.049550980E-1,1.113750041E-2,-3.011249937E-2,2.007500082E-2
1.074619570E-1,2.942499891E-2,-4.537499975E-3,1.154999994E-2
1.099696490E-1,3.795000166E-2,2.364999987E-2,-6.737499963E-3
1.124764200E-1,4.771250114E-2,4.317500070E-2,-1.773750037E-2
1.149825640E-1,5.389999971E-2,3.093750030E-2,-1.539999992E-2
1.174893310E-1,5.266249925E-2,-2.062499989E-3,-6.874999963E-4
1.199970380E-1,2.942499891E-2,-1.306249946E-2,3.024999984E-3
1.225040400E-1,-1.086249948E-2,4.124999978E-4,-6.874999963E-4
1.250099630E-1,-4.386249930E-2,7.699999958E-3,-7.974999957E-3
1.275167060E-1,-5.486249924E-2,1.622499898E-2,-1.539999992E-2
1.300243980E-1,-4.015000165E-2,-8.249999955E-4,-1.044999994E-2
1.325314000E-1,-1.333750039E-2,-3.506249934E-2,6.599999964E-3
1.350373230E-1,-2.337499987E-3,-4.235000163E-2,1.883750036E-2
1.375443210E-1,-4.812499974E-3,-2.529999986E-2,2.378750034E-2
1.400517830E-1,-1.209999993E-2,-8.249999955E-4,1.636249945E-2
1.425587850E-1,-2.337499987E-3,2.598750032E-2,5.499999970E-4
1.450647080E-1,1.966249943E-2,3.093750030E-2,-1.168750040E-2
1.475717060E-1,4.289999977E-2,6.462499965E-3,-1.044999994E-2
1.500793880E-1,5.142499879E-2,-5.774999969E-3,-7.974999957E-3
1.525861600E-1,3.437500075E-2,5.224999972E-3,-1.416249946E-2
1.550923130E-1,6.187499966E-3,2.117500082E-2,-1.649999991E-2
1.575990810E-1,-1.938750036E-2,3.093750030E-2,-2.144999988E-2
1.601067730E-1,-2.804999985E-2,1.869999990E-2,-1.292499993E-2
1.626135490E-1,-2.557500079E-2,-3.135000169E-2,9.074999951E-3
1.651197030E-1,-1.938750036E-2,-5.953750014E-2,2.736249939E-2
1.676264560E-1,-1.938750036E-2,-4.606249928E-2,3.231250122E-2
1.701342260E-1,-2.309999987E-2,-1.553750038E-2,2.254999988E-2
1.726409970E-1,-1.209999993E-2,1.746249944E-2,5.362499971E-3
1.751470740E-1,1.361249946E-2,3.341250122E-2,-1.168750040E-2
1.776539180E-1,4.413750023E-2,1.869999990E-2,-1.416249946E-2
1.801616100E-1,5.747500062E-2,-5.774999969E-3,-9.212499484E-3
1.826683810E-1,4.042499885E-2,-3.299999982E-3,-7.974999957E-3
1.851744580E-1,1.374999993E-4,3.987499978E-3,-9.212499484E-3
1.876813020E-1,-3.781250119E-2,1.746249944E-2,-1.044999994E-2
1.901889180E-1,-4.881250113E-2,1.993750036E-2,-1.044999994E-2
1.926959970E-1,-3.409999982E-2,-3.299999982E-3,-3.162499983E-3
1.952018430E-1,-4.812499974E-3,-3.629999980E-2,1.154999994E-2
1.977086490E-1,1.237499993E-2,-3.863750026E-2,1.883750036E-2
2.002163410E-1,1.237499993E-2,-1.677500084E-2,1.636249945E-2
2.027233430E-1,6.187499966E-3,1.141249947E-2,6.599999964E-3
2.052292670E-1,1.361249946E-2,3.341250122E-2,-7.974999957E-3
2.077362650E-1,2.337500080E-2,1.622499898E-2,-6.737499963E-3
2.102437100E-1,2.571249940E-2,-1.182499994E-2,3.024999984E-3
2.127507120E-1,7.424999960E-3,-2.406249940E-2,5.362499971E-3
2.152566350E-1,-2.062499896E-2,-5.774999969E-3,1.787499990E-3
2.177636330E-1,-3.904999793E-2,1.498750038E-2,-1.416249946E-2
2.202713250E-1,-3.533750027E-2,3.093750030E-2,-2.144999988E-2
2.227780970E-1,-1.209999993E-2,2.117500082E-2,-2.144999988E-2
2.252840200E-1,1.842499897E-2,-1.553750038E-2,-4.399999976E-3
2.277910180E-1,3.547500074E-2,-3.258749843E-2,1.031249948E-2
2.302987100E-1,2.694999985E-2,-2.282499894E-2,1.636249945E-2
2.328054810E-1,2.474999987E-3,-2.062499989E-3,2.007500082E-2
2.353116350E-1,-1.209999993E-2,1.498750038E-2,1.278750040E-2
2.378184020E-1,-7.287499961E-3,1.746249944E-2,7.837500423E-3
2.403260950E-1,8.662499487E-3,-6.874999963E-3,6.599999964E-3
2.428328420E-1,1.842499897E-2,-2.158750035E-2,4.262499977E-3
2.453389960E-1,7.424999960E-3,-1.058750041E-2,-4.399999976E-3
2.478457630E-1,-1.457499992E-2,1.388750039E-2,-2.021249942E-2
2.503534740E-1,-3.038750030E-2,3.464999795E-2,-2.997500077E-2
2.528603230E-1,-2.681249939E-2,2.722499892E-2,-2.873750031E-2
2.553664190E-1,-9.624999948E-3,-6.874999963E-3,-7.974999957E-3
2.578732640E-1,6.187499966E-3,-3.753750026E-2,1.402499992E-2
2.603808790E-1,1.113750041E-2,-3.382499889E-2,2.502499893E-2
2.628877270E-1,1.374999993E-3,-1.182499994E-2,2.254999988E-2
2.653938040E-1,-1.099999994E-3,1.993750036E-2,7.837500423E-3
2.679006480E-1,1.594999991E-2,2.722499892E-2,5.499999970E-4
2.704083410E-1,3.547500074E-2,1.017499994E-2,-4.399999976E-3
2.729151120E-1,4.523750022E-2,-1.182499994E-2,-3.162499983E-3
2.754211890E-1,2.323750034E-2,-1.182499994E-2,-4.399999976E-3
2.779280330E-1,-1.828750037E-2,4.124999978E-4,-9.212499484E-3
