"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.365274705E1,4.079128000E1,1.675197500E1,5.092629625E2,7.494355440E-1,1.587100067E2,2.099999905E0,2.379999924E1
4.465274705E1,4.079125500E1,1.675198833E1,5.084630605E2,1.033562183E0,1.572100067E2,2.000000000E0,2.020000076E1
4.565274705E1,4.079123333E1,1.675200500E1,5.074631618E2,1.337248325E0,1.548699951E2,2.000000000E0,1.960000038E1
4.665274705E1,4.079121333E1,1.675201833E1,5.066632488E2,1.605418563E0,1.533899994E2,2.000000000E0,1.810000038E1
4.765274705E1,4.079118500E1,1.675203000E1,5.061633487E2,1.930208325E0,1.569400024E2,2.099999905E0,1.839999962E1
4.865274705E1,4.079115500E1,1.675204167E1,5.061634523E2,2.275586843E0,1.503600006E2,2.200000048E0,1.670000076E1
4.965274705E1,4.079112500E1,1.675206500E1,5.058635935E2,2.638980865E0,1.487599945E2,2.299999952E0,1.739999962E1
5.065274705E1,4.079109000E1,1.675208667E1,5.051637403E2,3.030684471E0,1.510000000E2,2.299999952E0,1.789999962E1
5.165274705E1,4.079105833E1,1.675210167E1,5.045638583E2,3.329738140E0,1.577799988E2,2.299999952E0,1.800000000E1
5.265274705E1,4.079103000E1,1.675211833E1,5.039639743E2,3.504743576E0,1.587700043E2,2.500000000E0,1.889999962E1
5.365274705E1,4.079100000E1,1.675213500E1,5.031640940E2,3.598423004E0,1.580399933E2,2.599999905E0,2.020000076E1
5.465274705E1,4.079096833E1,1.675215333E1,5.024642228E2,3.647321701E0,1.539499969E2,2.700000048E0,2.120000076E1
5.565274705E1,4.079094667E1,1.675217000E1,5.016643241E2,3.544891834E0,1.522899933E2,2.700000048E0,2.179999924E1
5.665274705E1,4.079093333E1,1.675218500E1,5.010644018E2,3.367827415E0,1.470399933E2,2.599999905E0,2.120000076E1
5.765274705E1,4.079091500E1,1.675219500E1,5.002644744E2,3.123849154E0,1.696999969E2,2.299999952E0,1.729999924E1
5.865274705E1,4.079089667E1,1.675220667E1,4.998645523E2,2.862884998E0,1.593399963E2,2.099999905E0,1.580000019E1
5.965274705E1,4.079087500E1,1.675222333E1,4.999646536E2,2.667805195E0,1.702500000E2,2.000000000E0,1.569999981E1
6.065274705E1,4.079085000E1,1.675223500E1,5.001647462E2,2.449563026E0,1.706699982E2,2.000000000E0,1.620000076E1
6.165274705E1,4.079081667E1,1.675223000E1,4.987648035E2,2.402723312E0,1.860899963E2,2.000000000E0,1.650000000E1
6.265274705E1,4.079078000E1,1.675221833E1,4.972648466E2,2.409414768E0,1.919900055E2,2.099999905E0,1.639999962E1
6.365274705E1,4.079074500E1,1.675220167E1,4.959648700E2,2.466034174E0,1.973699951E2,2.099999905E0,1.629999924E1
6.465274705E1,4.079070833E1,1.675218167E1,4.950648862E2,2.557654619E0,2.047200012E2,2.099999905E0,1.750000000E1
6.565274705E1,4.079067167E1,1.675215333E1,4.937648757E2,2.820163012E0,2.093699951E2,2.000000000E0,1.760000038E1
6.665274705E1,4.079063333E1,1.675211667E1,4.930648420E2,3.194880724E0,2.117299957E2,2.099999905E0,1.720000076E1
6.765274705E1,4.079059667E1,1.675208333E1,4.927648153E2,3.706000090E0,2.101699982E2,2.200000048E0,1.789999962E1
6.865274705E1,4.079055000E1,1.675205000E1,4.925648107E2,4.146087646E0,2.035899963E2,2.099999905E0,1.600000000E1
6.965274705E1,4.079050833E1,1.675202167E1,4.921648111E2,4.454920769E0,2.036999969E2,2.000000000E0,1.589999962E1
7.065274705E1,4.079045667E1,1.675199833E1,4.922648497E2,4.773533821E0,2.019499969E2,2.000000000E0,1.580000019E1
7.165274705E1,4.079040167E1,1.675197333E1,4.923648903E2,5.045822144E0,2.021300049E2,2.099999905E0,1.610000038E1
7.265274705E1,4.079034500E1,1.675195167E1,4.924649452E2,5.283108711E0,2.006199951E2,2.099999905E0,1.629999924E1
7.365274705E1,4.079028500E1,1.675192833E1,4.926650021E2,5.475615025E0,2.011900024E2,2.200000048E0,1.589999962E1
