"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.250655300E-2,-1.069500074E-1,9.814050674E0,1.087050080E0
1.501250200E-2,-8.505000174E-2,1.045305061E1,1.006950021E0
1.751950200E-2,-5.895000324E-2,1.071900082E1,1.063050032E0
2.002696400E-2,-2.805000171E-2,1.036005020E1,1.114950061E0
2.253373300E-2,3.795000166E-2,9.663000107E0,1.290000081E0
2.503988700E-2,8.595000207E-2,9.004950523E0,1.663950086E0
2.754690500E-2,1.909500062E-1,8.665050507E0,2.056050062E0
3.005436600E-2,2.539499998E-1,8.887050629E0,2.494050026E0
3.256136800E-2,2.610000074E-1,9.481050491E0,2.920950174E0
3.506729700E-2,1.669500023E-1,1.008405018E1,2.947050095E0
3.757406400E-2,-1.395000052E-2,1.025700092E1,2.710050106E0
4.008175600E-2,-2.239500135E-1,9.955050468E0,2.200050116E0
4.258875800E-2,-3.940500319E-1,9.342000008E0,1.632000089E0
4.509470900E-2,-4.570500255E-1,8.965950012E0,1.221000075E0
4.760147600E-2,-3.750000298E-1,9.117000580E0,1.030950069E0
5.010916900E-2,-2.149500102E-1,9.715950012E0,1.102950096E0
5.261617100E-2,-4.200000316E-2,1.038405037E1,1.374000072E0
5.512209900E-2,1.480500102E-1,1.063305092E1,1.624950051E0
5.762886600E-2,2.920500040E-1,1.024500084E1,1.683000088E0
6.013655800E-2,3.640500307E-1,9.510000229E0,1.789950132E0
6.264356000E-2,4.159500301E-1,8.859000206E0,1.885950089E0
6.514948300E-2,4.260000288E-1,8.647950172E0,1.996050119E0
6.765624600E-2,3.570000231E-1,8.938050270E0,2.233050108E0
7.016393800E-2,1.669500023E-1,9.534000397E0,2.487000227E0
7.267094000E-2,-4.500000179E-2,1.000305080E1,2.539950132E0
7.517686300E-2,-3.319500089E-1,1.011795044E1,2.254950047E0
7.768364400E-2,-5.279999971E-1,9.847050667E0,1.807050109E0
8.019133700E-2,-6.190500259E-1,9.385050774E0,1.357050061E0
8.269810800E-2,-5.689499974E-1,9.105000496E0,1.078950047E0
8.520423800E-2,-3.919500113E-1,9.214950562E0,1.137000084E0
8.771100500E-2,-7.800000161E-2,9.694050789E0,1.453050017E0
9.021869700E-2,2.080500126E-1,1.024695015E1,1.920000076E0
9.272546900E-2,4.500000179E-1,1.048395061E1,2.248050213E0
9.523162200E-2,5.580000281E-1,1.022100067E1,2.335950136E0
9.773839000E-2,5.890500546E-1,9.591000557E0,2.274000168E0
1.002460820E-1,5.410500169E-1,9.057000160E0,2.121000051E0
1.027528530E-1,4.069500268E-1,8.842050552E0,1.951050043E0
1.052590070E-1,1.960500032E-1,9.085950851E0,1.927050114E0
1.077657880E-1,-4.200000316E-2,9.591000557E0,1.972050071E0
1.102734810E-1,-2.980500162E-1,1.004595089E1,1.953000069E0
1.127802520E-1,-4.999500215E-1,1.023300076E1,1.723050117E0
1.152863960E-1,-6.000000238E-1,9.940950394E0,1.434000015E0
1.177931630E-1,-5.879999995E-1,9.418950081E0,1.209000111E0
1.203008550E-1,-4.660500288E-1,9.045000076E0,1.186950088E0
1.228076260E-1,-1.980000138E-1,9.133950233E0,1.398000121E0
1.253137030E-1,7.605000585E-2,9.639000893E0,1.881000042E0
1.278205530E-1,3.040500283E-1,1.025895023E1,2.320050001E0
1.303282450E-1,4.330500066E-1,1.047495079E1,2.563950062E0
1.328350160E-1,4.909500182E-1,1.015395069E1,2.439000130E0
1.353411700E-1,4.450500309E-1,9.486000061E0,2.158950090E0
1.378479560E-1,3.330000043E-1,8.926050186E0,1.843050122E0
1.403556480E-1,1.650000066E-1,8.751000404E0,1.630050063E0
1.428626500E-1,2.100000158E-2,9.004950523E0,1.594050050E0
1.453684970E-1,-1.309500039E-1,9.498000145E0,1.699050069E0
1.478753740E-1,-2.790000141E-1,1.002900028E1,1.743000031E0
1.503830660E-1,-3.889500201E-1,1.024995041E1,1.680000067E0
1.528900680E-1,-4.590000212E-1,1.005795002E1,1.573050022E0
1.553959910E-1,-3.799500167E-1,9.567000389E0,1.417050123E0
1.579027680E-1,-2.509500086E-1,9.127050400E0,1.390950084E0
1.604104610E-1,-4.200000316E-2,9.076050758E0,1.611000061E0
1.629174630E-1,1.870500147E-1,9.505050659E0,2.013000011E0
1.654233090E-1,3.660000265E-1,1.009905052E1,2.449050188E0
1.679301580E-1,4.279500246E-1,1.041000080E1,2.659950018E0
1.704377730E-1,4.189500213E-1,1.025400066E1,2.581050158E0
1.729446220E-1,3.109500110E-1,9.682050705E0,2.245050192E0
1.754507750E-1,1.650000066E-1,9.064050674E0,1.819050074E0
1.779575570E-1,3.299999982E-2,8.782050133E0,1.435950041E0
1.804652490E-1,-9.705000371E-2,8.997000694E0,1.369050026E0
1.829720200E-1,-2.190000117E-1,9.567000389E0,1.546050072E0
1.854781740E-1,-2.580000162E-1,1.014195061E1,1.680000067E0
1.879849170E-1,-2.980500162E-1,1.034100056E1,1.642050028E0
1.904926100E-1,-3.150000274E-1,1.012995052E1,1.551000118E0
1.929993810E-1,-2.650500238E-1,9.579000473E0,1.543950081E0
1.955055350E-1,-1.500000060E-1,9.142950058E0,1.564950109E0
1.980123120E-1,-1.395000052E-2,9.060000420E0,1.780950069E0
2.005200040E-1,1.410000026E-1,9.397050858E0,2.145000219E0
2.030267760E-1,2.440500110E-1,9.955050468E0,2.490000010E0
2.055328520E-1,2.490000129E-1,1.028805065E1,2.638050079E0
2.080396820E-1,2.220000178E-1,1.016595078E1,2.451000214E0
2.105473740E-1,1.530000120E-1,9.663000107E0,2.071050167E0
2.130541450E-1,7.605000585E-2,9.112050056E0,1.659000039E0
2.155602220E-1,5.700000376E-2,8.836950302E0,1.339950085E0
2.180670710E-1,1.905000024E-2,8.988000870E0,1.267950058E0
2.205747640E-1,-1.095000096E-2,9.463950157E0,1.431000113E0
2.230815350E-1,-3.299999982E-2,9.985950470E0,1.627950072E0
2.255876120E-1,-7.605000585E-2,1.023000050E1,1.726050138E0
2.280944510E-1,-1.600500047E-1,1.010805035E1,1.732950091E0
2.306021430E-1,-2.100000083E-1,9.618000031E0,1.671000123E0
2.331089050E-1,-2.050500065E-1,9.115050316E0,1.654050112E0
2.356149820E-1,-1.240500063E-1,8.956950188E0,1.788000107E0
2.381218260E-1,-1.395000052E-2,9.282000542E0,2.113950014E0
2.406295180E-1,1.000500023E-1,9.943050385E0,2.485050201E0
2.431362890E-1,1.600500047E-1,1.041000080E1,2.664000034E0
2.456423520E-1,2.080500126E-1,1.033305073E1,2.451000214E0
2.481491960E-1,1.699500084E-1,9.816000938E0,2.014950037E0
2.506568550E-1,1.549500078E-1,9.225000381E0,1.570050120E0
2.531636260E-1,1.050000042E-1,8.923050880E0,1.270950079E0
2.556697030E-1,6.900000572E-2,9.031050682E0,1.249050021E0
2.581765470E-1,9.000000544E-3,9.460050583E0,1.435950041E0
