"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.501247100E-2,3.849999979E-3,4.427500069E-2,7.837500423E-3
1.751950200E-2,-1.938750036E-2,2.241249941E-2,6.599999964E-3
2.002696400E-2,-3.148749843E-2,-1.306249946E-2,-6.874999963E-4
2.253373300E-2,-4.248749837E-2,-5.101250112E-2,-5.637499969E-3
2.503990500E-2,-5.472499877E-2,-5.953750014E-2,-3.162499983E-3
2.754690500E-2,-6.696250290E-2,-3.753750026E-2,5.499999970E-4
3.005436600E-2,-7.067500055E-2,-4.537499975E-3,5.362499971E-3
3.256137100E-2,-5.472499877E-2,2.598750032E-2,-1.924999990E-3
3.506729700E-2,-1.814999990E-2,3.946249932E-2,-1.044999994E-2
3.757406400E-2,3.203750029E-2,2.722499892E-2,-1.897500083E-2
4.008175600E-2,7.837499678E-2,8.937500417E-3,-2.268750034E-2
4.258875800E-2,9.666249901E-2,-2.062499989E-3,-1.539999992E-2
4.509470900E-2,7.961250097E-2,-3.299999982E-3,-1.924999990E-3
4.760147600E-2,4.056249931E-2,2.749999985E-3,1.388750039E-2
5.010916900E-2,-2.199999988E-3,8.937500417E-3,2.254999988E-2
5.261617600E-2,-3.038750030E-2,1.649999991E-3,2.488750033E-2
5.512209900E-2,-3.767500073E-2,-1.677500084E-2,2.007500082E-2
5.762886600E-2,-2.791249938E-2,-3.258749843E-2,9.074999951E-3
6.013655800E-2,-2.172499895E-2,-4.235000163E-2,2.887499984E-3
6.264356000E-2,-2.667500079E-2,-3.258749843E-2,-6.874999963E-4
6.514948300E-2,-3.643750027E-2,-9.349999949E-3,-1.924999990E-3
6.765624600E-2,-3.767500073E-2,1.622499898E-2,-1.044999994E-2
7.016393800E-2,-2.419999987E-2,3.217500076E-2,-1.787500083E-2
7.267094000E-2,2.749999985E-4,3.575000167E-2,-2.887500077E-2
7.517687700E-2,3.684999794E-2,2.969999984E-2,-3.121249937E-2
7.768364400E-2,6.379999965E-2,1.869999990E-2,-2.392499894E-2
8.019133700E-2,6.737499684E-2,5.224999972E-3,-1.044999994E-2
8.269810800E-2,4.661250114E-2,-7.012499962E-3,6.599999964E-3
8.520423800E-2,8.799999952E-3,-1.306249946E-2,2.364999987E-2
8.771100500E-2,-3.038750030E-2,-1.924999990E-2,3.355000168E-2
9.021869700E-2,-5.348749831E-2,-2.406249940E-2,3.588749841E-2
9.272546900E-2,-5.224999785E-2,-3.011249937E-2,2.488750033E-2
9.523162200E-2,-2.914999984E-2,-3.011249937E-2,1.512499992E-2
9.773839000E-2,-3.437499981E-3,-2.158750035E-2,-6.874999963E-4
1.002460820E-1,1.237499993E-2,-7.012499962E-3,-6.874999963E-3
1.027528530E-1,1.237499993E-2,8.937500417E-3,-1.539999992E-2
1.052590210E-1,8.799999952E-3,2.351249941E-2,-2.144999988E-2
1.077657880E-1,1.003750041E-2,3.822499886E-2,-2.516249940E-2
1.102734810E-1,1.484999992E-2,4.069999978E-2,-2.763750032E-2
1.127802520E-1,2.708750032E-2,2.846249938E-2,-2.268750034E-2
1.152863960E-1,3.437500075E-2,1.017499994E-2,-1.539999992E-2
1.177931630E-1,3.203750029E-2,-9.349999949E-3,-6.874999963E-4
1.203008550E-1,1.127499994E-2,-2.529999986E-2,1.636249945E-2
1.228076260E-1,-2.296249941E-2,-2.901249938E-2,2.612499893E-2
1.253137030E-1,-4.743750021E-2,-2.529999986E-2,3.231250122E-2
