"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.224651650E-1,-5.307500064E-2,1.484999992E-2,-2.791249938E-2
2.249713960E-1,-6.283749640E-2,1.718750037E-2,-1.567500085E-2
2.274784710E-1,-6.159999967E-2,1.966249943E-2,1.374999993E-3
2.299863940E-1,-4.688749835E-2,1.718750037E-2,1.608750038E-2
2.324934730E-1,-2.859999985E-2,7.424999960E-3,2.584999986E-2
2.349996270E-1,-4.124999978E-3,-5.912499968E-3,2.942499891E-2
2.375067020E-1,1.911249943E-2,-2.433750033E-2,2.708750032E-2
2.400144710E-1,3.987500072E-2,-2.681249939E-2,2.089999989E-2
2.425215500E-1,4.963750020E-2,-1.691249944E-2,1.113750041E-2
2.450277040E-1,5.087500066E-2,-5.912499968E-3,-2.337499987E-3
2.475350090E-1,4.468749836E-2,1.374999993E-4,-1.333750039E-2
2.500427840E-1,2.887500077E-2,6.187499966E-3,-2.433750033E-2
2.525498630E-1,1.539999992E-2,1.374999993E-3,-3.038750030E-2
2.550560160E-1,6.874999963E-4,-2.337499987E-3,-3.038750030E-2
2.575630910E-1,-1.264999993E-2,-2.337499987E-3,-1.938750036E-2
2.600710280E-1,-2.736249939E-2,2.612499986E-3,-4.674999975E-3
2.625781070E-1,-3.107500076E-2,1.113750041E-2,1.237499993E-2
2.650842560E-1,-2.983750030E-2,1.113750041E-2,2.584999986E-2
2.675913310E-1,-1.883750036E-2,4.949999973E-3,3.066249937E-2
2.700991000E-1,-9.074999951E-3,-8.387500420E-3,2.818750031E-2
2.726061790E-1,6.874999963E-4,-1.691249944E-2,2.089999989E-2
2.751125690E-1,1.044999994E-2,-1.581249945E-2,1.237499993E-2
2.776196440E-1,1.292499993E-2,1.374999993E-4,1.374999993E-3
2.801274130E-1,8.112499490E-3,1.113750041E-2,-9.624999948E-3
2.826344340E-1,1.924999990E-3,1.718750037E-2,-1.814999990E-2
2.851406650E-1,-2.887499984E-3,1.718750037E-2,-2.667500079E-2
2.876477400E-1,-6.599999964E-3,4.949999973E-3,-2.914999984E-2
2.901556630E-1,-6.599999964E-3,-4.812499974E-3,-2.433750033E-2
2.926627470E-1,-6.599999964E-3,-7.149999961E-3,-1.086249948E-2
2.951689010E-1,-5.362499971E-3,1.374999993E-4,6.187499966E-3
2.976759760E-1,6.874999963E-4,2.612499986E-3,2.213750035E-2
3.001837450E-1,1.168750040E-2,-1.099999994E-3,2.942499891E-2
3.026908240E-1,2.144999988E-2,-1.333750039E-2,2.942499891E-2
3.051971930E-1,2.763750032E-2,-2.791249938E-2,2.584999986E-2
