"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.206173825E0,4.079132350E1,1.675199270E1,4.988629482E2,NaN,NaN,1.415699959E1,1.135689139E0
1.296173825E0,4.079132350E1,1.675199270E1,4.988629482E2,NaN,NaN,1.415699959E1,1.135689139E0
4.270173825E0,4.079147000E1,1.675208500E1,4.675628986E2,0.000000000E0,0.000000000E0,5.120000076E1,1.903999939E2
5.270173825E0,4.079147167E1,1.675206833E1,4.694628413E2,8.631891608E-1,2.577500000E2,6.099999905E0,1.066999969E2
6.270173825E0,4.079145500E1,1.675204333E1,4.905627974E2,6.897277832E-1,2.651499939E2,4.199999809E0,5.040000153E1
7.270173825E0,4.079144333E1,1.675198833E1,4.947626460E2,2.779499888E-1,2.651499939E2,3.599999905E0,4.159999847E1
9.202173825E0,4.079143000E1,1.675198167E1,4.980626538E2,2.928769588E-1,2.651499939E2,3.500000000E0,3.570000076E1
1.020217383E1,4.079141333E1,1.675197667E1,5.029626744E2,1.852999926E-1,2.651499939E2,3.299999952E0,3.300000000E1
1.120217383E1,4.079140000E1,1.675197500E1,5.061626984E2,1.585344374E-1,2.651499939E2,3.200000048E0,3.160000038E1
