"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.693342350E-1,4.079748330E1,1.676734540E1,NaN,NaN,NaN,9.290000153E1,0.000000000E0
6.693342350E-1,4.079748330E1,1.676734540E1,NaN,NaN,NaN,9.290000153E1,0.000000000E0
1.283334235E0,4.079744000E1,1.676736000E1,4.657990090E2,5.147222430E-3,1.431499939E2,4.300000191E0,3.070000076E1
1.783334235E0,4.079744000E1,1.676735833E1,4.657990036E2,3.690558374E-1,3.560000000E2,4.199999809E0,3.029999924E1
2.737334235E0,4.079744500E1,1.676735167E1,4.657989712E2,8.477475047E-1,3.604999924E1,3.900000095E0,1.850000000E1
3.237334235E0,4.079744167E1,1.676735000E1,4.654989731E2,7.597299814E-1,2.720999908E1,2.700000048E0,1.839999962E1
3.737334235E0,4.079744167E1,1.676735500E1,4.652989892E2,9.887813926E-1,2.570000076E1,2.400000095E0,1.900000000E1
4.737334235E0,4.079744500E1,1.676736167E1,4.647990034E2,8.230408430E-1,3.501900024E2,2.200000048E0,1.979999924E1
6.237334235E0,4.079744333E1,1.676736333E1,4.635990124E2,4.493525028E-1,1.923800049E2,2.099999905E0,2.010000038E1
7.237334235E0,4.079742000E1,1.676737500E1,4.628991012E2,1.418574452E0,1.687799988E2,2.000000000E0,1.939999962E1
8.237334235E0,4.079740500E1,1.676738167E1,4.623991556E2,1.945135236E0,1.602700043E2,1.899999976E0,1.700000000E1
9.237334235E0,4.079739000E1,1.676739333E1,4.615992261E2,2.434121370E0,1.558099976E2,1.899999976E0,1.639999962E1
1.023733424E1,4.079737000E1,1.676740500E1,4.605993076E2,3.141349792E0,1.566399994E2,1.799999952E0,1.639999962E1
1.123733424E1,4.079734500E1,1.676742167E1,4.599994161E2,3.476433992E0,1.565399933E2,1.899999976E0,1.530000019E1
1.223733424E1,4.079731833E1,1.676744000E1,4.594995337E2,3.875858307E0,1.562899933E2,2.099999905E0,1.530000019E1
1.323733424E1,4.079728833E1,1.676746000E1,4.591996639E2,4.011744976E0,1.585500031E2,2.200000048E0,1.569999981E1
1.423733424E1,4.079725667E1,1.676748000E1,4.588997978E2,3.871225834E0,1.599100037E2,2.299999952E0,1.539999962E1
1.523733424E1,4.079722833E1,1.676750167E1,4.586999298E2,3.680778503E0,1.606399994E2,2.000000000E0,1.250000000E1
1.623733424E1,4.079719833E1,1.676752333E1,4.587000654E2,3.702396870E0,1.602899933E2,1.899999976E0,1.219999981E1
1.723733424E1,4.079716833E1,1.676753833E1,4.584001796E2,3.673572540E0,1.582899933E2,2.099999905E0,1.280000019E1
1.823733424E1,4.079714500E1,1.676755333E1,4.579002791E2,3.509376049E0,1.580899963E2,2.000000000E0,1.180000019E1
1.923733424E1,4.079711500E1,1.676756833E1,4.575003932E2,3.759531021E0,1.592400055E2,1.899999976E0,1.200000000E1
2.023733424E1,4.079708167E1,1.676758833E1,4.566005308E2,4.120351315E0,1.562899933E2,1.899999976E0,1.150000000E1
2.123733424E1,4.079704833E1,1.676760833E1,4.562006683E2,3.851666451E0,1.585899963E2,1.899999976E0,1.130000019E1
2.223733424E1,4.079701333E1,1.676763000E1,4.557008149E2,3.936595440E0,1.594199982E2,1.899999976E0,1.130000019E1
2.323733424E1,4.079697167E1,1.676765500E1,4.553009868E2,4.064761162E0,1.569799957E2,1.899999976E0,1.160000038E1
2.423733424E1,4.079692500E1,1.676767667E1,4.549011590E2,4.245429039E0,1.568800049E2,2.000000000E0,1.150000000E1
2.523733424E1,4.079687667E1,1.676770000E1,4.544013402E2,4.484774590E0,1.552500000E2,2.000000000E0,1.150000000E1
2.623733424E1,4.079682667E1,1.676772333E1,4.544015250E2,4.710223198E0,1.583699951E2,2.099999905E0,1.169999981E1
2.723733424E1,4.079678000E1,1.676775500E1,4.545017294E2,4.911479473E0,1.584799957E2,2.099999905E0,1.180000019E1
2.823733424E1,4.079673333E1,1.676778167E1,4.547019177E2,5.109132767E0,1.587700043E2,2.000000000E0,1.189999962E1
2.923733424E1,4.079669333E1,1.676780500E1,4.546020806E2,5.234724998E0,1.582799988E2,2.000000000E0,1.210000038E1
