"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.511321913E1,4.079980667E1,1.676404167E1,4.575831170E2,5.397377014E0,1.549100037E2,2.200000048E0,1.060000038E1
4.611321913E1,4.079975667E1,1.676406833E1,4.575833127E2,3.064656019E0,1.560599976E2,2.299999952E0,1.069999981E1
4.711321913E1,4.079970500E1,1.676409333E1,4.574835068E2,3.686440468E0,1.549400024E2,2.400000095E0,1.089999962E1
4.811321913E1,4.079964333E1,1.676413167E1,4.574837657E2,4.341681957E0,1.549799957E2,2.400000095E0,1.080000019E1
4.911321913E1,4.079957667E1,1.676417167E1,4.566840410E2,7.708479881E0,1.550000000E2,1.899999976E0,9.100000381E0
5.011321913E1,4.079951333E1,1.676421000E1,4.559843036E2,7.804218292E0,1.539400024E2,1.799999952E0,9.199999809E0
5.111321913E1,4.079944833E1,1.676425000E1,4.561845752E2,7.829439640E0,1.552299957E2,1.799999952E0,9.600000381E0
5.211321913E1,4.079937500E1,1.676428833E1,4.568848598E2,8.629833221E0,1.555299988E2,1.799999952E0,9.899999619E0
5.311321913E1,4.079929833E1,1.676433500E1,4.571851785E2,9.045213699E0,1.624400024E2,1.799999952E0,9.899999619E0
5.411321913E1,4.079922167E1,1.676436500E1,4.571854435E2,9.154335022E0,1.731600037E2,1.899999976E0,9.699999809E0
5.511321913E1,4.079913833E1,1.676436333E1,4.562856209E2,8.926312447E0,1.861900024E2,1.899999976E0,9.699999809E0
5.611321913E1,4.079905167E1,1.676433167E1,4.555857090E2,9.321619034E0,1.990500031E2,1.799999952E0,9.699999809E0
5.711321913E1,4.079897333E1,1.676427000E1,4.547856819E2,9.337575912E0,2.129700012E2,1.799999952E0,9.699999809E0
5.811321913E1,4.079890333E1,1.676419500E1,4.539855937E2,9.680380821E0,2.176000061E2,1.700000048E0,9.899999619E0
5.911321913E1,4.079883667E1,1.676412500E1,4.535855142E2,9.791561127E0,2.175099945E2,1.799999952E0,9.899999619E0
6.011321913E1,4.079876833E1,1.676405167E1,4.530854276E2,9.804429054E0,2.183600006E2,1.700000048E0,1.010000038E1
6.111321913E1,4.079870000E1,1.676397833E1,4.532853411E2,9.815237999E0,2.175299988E2,1.700000048E0,9.800000191E0
6.211321913E1,4.079862833E1,1.676391000E1,4.534852780E2,9.841488838E0,2.157799988E2,1.700000048E0,9.699999809E0
6.311321913E1,4.079855667E1,1.676384000E1,4.539852095E2,9.985610962E0,2.129199982E2,1.799999952E0,9.600000381E0
6.411321913E1,4.079847833E1,1.676378333E1,4.539851987E2,9.897593498E0,2.074400024E2,1.799999952E0,9.000000000E0
6.511321913E1,4.079839500E1,1.676374333E1,4.557852525E2,9.872372627E0,2.019199982E2,1.700000048E0,9.000000000E0
6.611321913E1,4.079831167E1,1.676370667E1,4.568853172E2,9.906858444E0,1.980399933E2,1.700000048E0,8.899999619E0
6.711321913E1,4.079822500E1,1.676367333E1,4.571853999E2,9.925388336E0,1.970299988E2,1.700000048E0,8.800000191E0
6.811321913E1,4.079813833E1,1.676364167E1,4.570854879E2,9.962449074E0,1.971499939E2,1.700000048E0,9.000000000E0
6.911321913E1,4.079805000E1,1.676360833E1,4.567855743E2,9.967596054E0,1.980200043E2,1.799999952E0,9.000000000E0
7.011321913E1,4.079796333E1,1.676357333E1,4.564856516E2,9.972228050E0,1.976199951E2,1.799999952E0,9.100000381E0
7.111321913E1,4.079788167E1,1.676353667E1,4.563857126E2,9.959360123E0,1.976300049E2,1.799999952E0,9.000000000E0
7.211321913E1,4.079780167E1,1.676350333E1,4.565857807E2,9.745750427E0,1.978300018E2,1.799999952E0,8.899999619E0
7.311321913E1,4.079771500E1,1.676346167E1,4.567858365E2,9.734426498E0,1.969299927E2,1.799999952E0,8.899999619E0
7.411321913E1,4.079762833E1,1.676342667E1,4.572859139E2,9.735456467E0,1.971600037E2,1.799999952E0,8.800000191E0
7.511321913E1,4.079754833E1,1.676338833E1,4.578859659E2,9.464197159E0,1.973300018E2,1.799999952E0,8.899999619E0
7.611321913E1,4.079746667E1,1.676335333E1,4.582860322E2,9.428681374E0,1.987100067E2,1.799999952E0,8.800000191E0
7.661321913E1,4.079742500E1,1.676333333E1,4.585860592E2,9.411695480E0,1.995599976E2,1.799999952E0,8.699999809E0
7.711321913E1,4.079738667E1,1.676332000E1,4.590861003E2,9.371547699E0,1.986399994E2,1.799999952E0,8.800000191E0
7.761321913E1,4.079734833E1,1.676330167E1,4.598861254E2,9.339119911E0,1.992400055E2,1.799999952E0,8.800000191E0
7.911321913E1,4.079722667E1,1.676324500E1,4.605862097E2,9.062714577E0,1.994700012E2,1.799999952E0,9.000000000E0
8.011321913E1,4.079715167E1,1.676320833E1,4.604862561E2,8.809985161E0,1.985599976E2,1.899999976E0,9.100000381E0
8.111321913E1,4.079707667E1,1.676316833E1,4.606862917E2,8.449680328E0,1.985099945E2,1.899999976E0,9.399999619E0
8.211321913E1,4.079700667E1,1.676314000E1,4.610863540E2,8.138788223E0,1.973399963E2,1.799999952E0,9.399999619E0
8.311321913E1,4.079693667E1,1.676311667E1,4.616864324E2,8.115625381E0,1.934700012E2,1.899999976E0,9.699999809E0
8.411321913E1,4.079686667E1,1.676309333E1,4.623865108E2,7.327070713E0,1.979499969E2,1.799999952E0,9.399999619E0
8.511321913E1,4.079680833E1,1.676306500E1,4.630865475E2,6.603886127E0,1.977299957E2,1.799999952E0,9.500000000E0
8.611321913E1,4.079675500E1,1.676305167E1,4.638866216E2,5.534293175E0,1.795700073E2,1.700000048E0,9.199999809E0
8.711321913E1,4.079671333E1,1.676306833E1,4.638867667E2,4.925376892E0,1.533399963E2,1.799999952E0,9.399999619E0
8.811321913E1,4.079668167E1,1.676312833E1,4.637870297E2,5.066411018E0,1.267900009E2,1.899999976E0,9.399999619E0
8.911321913E1,4.079666833E1,1.676319333E1,4.643872685E2,5.043248177E0,1.160299988E2,1.799999952E0,9.300000191E0
9.011321913E1,4.079665667E1,1.676325333E1,4.647874875E2,4.869786739E0,1.071200027E2,1.799999952E0,9.300000191E0
9.111321913E1,4.079666167E1,1.676332333E1,4.652877022E2,6.015558720E0,8.426000214E1,1.799999952E0,9.000000000E0
9.211321913E1,4.079668000E1,1.676340500E1,4.651879252E2,6.793818474E0,7.912000275E1,1.799999952E0,9.000000000E0
9.311321913E1,4.079669833E1,1.676349167E1,4.651881644E2,7.113976002E0,8.180999756E1,1.799999952E0,8.899999619E0
9.411321913E1,4.079670500E1,1.676358000E1,4.644884345E2,7.524209499E0,8.416999817E1,1.899999976E0,8.899999619E0
9.511321913E1,4.079671500E1,1.676367500E1,4.633887189E2,7.683258533E0,8.568000031E1,2.000000000E0,9.000000000E0
9.611321913E1,4.079672167E1,1.676376500E1,4.620889944E2,8.003930092E0,8.783000183E1,2.000000000E0,9.100000381E0
9.711321913E1,4.079672500E1,1.676385667E1,4.615892826E2,8.151656151E0,8.805999756E1,2.000000000E0,9.000000000E0
9.811321913E1,4.079672833E1,1.676395000E1,4.607895761E2,8.236070633E0,8.879000092E1,2.000000000E0,9.000000000E0
9.911321913E1,4.079672667E1,1.676404833E1,4.602898968E2,8.562918663E0,8.919999695E1,1.899999976E0,9.100000381E0
