"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.438954950E-1,-1.120500043E-1,9.297000885E0,8.899500370E-1
2.464019580E-1,-5.700000376E-2,9.397050858E0,1.249050021E0
2.489077910E-1,2.895000204E-2,9.727950096E0,1.819050074E0
2.514142500E-1,1.240500063E-1,1.005795002E1,2.299950123E0
2.539216350E-1,2.440500110E-1,1.017105007E1,2.407950163E0
2.564281750E-1,2.899500132E-1,9.928950310E0,2.190000057E0
2.589339530E-1,3.280500174E-1,9.430950165E0,1.744950056E0
2.614404900E-1,2.800500095E-1,9.064050674E0,1.381050110E0
2.639478750E-1,2.250000089E-1,9.036000252E0,1.182000041E0
2.664545690E-1,2.080500126E-1,9.400050163E0,1.185000062E0
2.689601510E-1,1.819500029E-1,9.832950592E0,1.303950071E0
2.714668420E-1,1.480500102E-1,1.013895035E1,1.309050083E0
2.739739950E-1,5.700000376E-2,1.003695011E1,1.102950096E0
2.764806900E-1,-3.795000166E-2,9.735000610E0,9.139500260E-1
2.789863140E-1,-1.309500039E-1,9.402000427E0,8.850000501E-1
2.814930040E-1,-1.570500135E-1,9.261000633E0,9.670500755E-1
2.840003890E-1,-1.090500057E-1,9.354000092E0,1.326000094E0
2.865069290E-1,-9.000000544E-3,9.700950623E0,1.852950096E0
2.890126790E-1,1.120500043E-1,1.004895020E1,2.275950193E0
2.915192150E-1,2.149500102E-1,1.015605068E1,2.455950022E0
2.940266000E-1,2.460000068E-1,9.943050385E0,2.323950052E0
2.965330630E-1,2.610000074E-1,9.498000145E0,1.908000112E0
2.990389100E-1,2.539499998E-1,9.124050140E0,1.479000092E0
3.015453690E-1,2.340000123E-1,9.073950768E0,1.185000062E0
3.040527540E-1,1.960500032E-1,9.369000435E0,1.149000049E0
3.065594480E-1,1.669500023E-1,9.814050674E0,1.302000046E0
3.090650290E-1,1.720500141E-1,1.020195007E1,1.338000059E0
3.115717200E-1,8.100000024E-2,1.025400066E1,1.189050078E0
3.140791040E-1,7.050000131E-3,9.952950478E0,1.000050068E0
3.165855680E-1,-8.295000345E-2,9.570000648E0,8.569500446E-1
3.190913950E-1,-1.020000055E-1,9.345000267E0,8.929500580E-1
3.215978550E-1,-1.069500074E-1,9.342000008E0,1.197000027E0
3.241052390E-1,-1.800000109E-2,9.598050117E0,1.711050034E0
3.266117800E-1,9.795000404E-2,9.967050552E0,2.137950182E0
3.291175590E-1,2.149500102E-1,1.011795044E1,2.338950157E0
3.316240950E-1,2.460000068E-1,9.967050552E0,2.257050037E0
