"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.115767920E-1,3.760500252E-1,1.028295040E1,2.437050104E0
2.140837800E-1,3.690000176E-1,9.402000427E0,1.999050140E0
2.165897030E-1,1.579500139E-1,8.623950005E0,1.534050107E0
2.190964460E-1,-1.020000055E-1,8.313000679E0,9.640500546E-1
2.216041390E-1,-3.180000186E-1,8.710050583E0,7.470000386E-1
2.241111410E-1,-4.540500343E-1,9.718050003E0,1.441050053E0
2.266170540E-1,-3.889500201E-1,1.064700031E1,2.284050226E0
2.291238210E-1,-9.705000371E-2,1.098705006E1,2.403000116E0
2.316315180E-1,2.010000050E-1,1.056300068E1,2.083050013E0
2.341382900E-1,4.020000100E-1,9.619950294E0,1.744950056E0
2.366444430E-1,3.850500286E-1,8.740950584E0,1.687050104E0
2.391512110E-1,2.419500053E-1,8.419950485E0,1.549050093E0
2.416589030E-1,8.805000782E-2,8.760000229E0,1.290000081E0
2.441656740E-1,-7.800000161E-2,9.438000679E0,1.431000113E0
2.466718280E-1,-1.690500081E-1,1.018005085E1,2.106000185E0
2.491785950E-1,-1.690500081E-1,1.053495026E1,2.502000093E0
2.516862880E-1,-2.295000106E-2,1.049595070E1,2.434050083E0
2.541932900E-1,1.030500084E-1,1.010400009E1,2.188050032E0
2.566991360E-1,1.530000120E-1,9.490950584E0,1.963050127E0
2.592059940E-1,1.390500069E-1,8.916000366E0,1.639950037E0
2.617136860E-1,3.299999982E-2,8.641050339E0,1.110000014E0
2.642204580E-1,-8.295000345E-2,8.839050293E0,6.940500140E-1
2.667265200E-1,-1.639500111E-1,9.487950325E0,1.072050095E0
2.692333650E-1,-1.789500117E-1,1.025205040E1,1.984050035E0
2.717410570E-1,-1.605000161E-2,1.076400089E1,2.524950027E0
2.742478320E-1,2.130000144E-1,1.072605038E1,2.475000143E0
2.767539090E-1,3.450000286E-1,1.005300045E1,2.121000051E0
2.792607530E-1,3.280500174E-1,9.067049980E0,1.801950097E0
2.817684460E-1,1.510500014E-1,8.310000420E0,1.543950081E0
2.842752170E-1,-7.605000585E-2,8.218950272E0,1.266000032E0
2.867813710E-1,-2.629500031E-1,8.938050270E0,1.422000051E0
2.892880610E-1,-3.180000186E-1,1.008195019E1,2.157000065E0
2.917958300E-1,-1.960500032E-1,1.090800095E1,2.674050093E0
2.943026010E-1,4.995000362E-2,1.093005085E1,2.463000059E0
2.968086780E-1,2.779500186E-1,1.024005032E1,1.843050122E0
2.993154460E-1,3.180000186E-1,9.285000801E0,1.438050032E0
3.018232150E-1,1.939500123E-1,8.695950508E0,1.278000116E0
3.043299620E-1,5.700000376E-2,8.674050331E0,1.081950068E0
3.068360390E-1,-1.000500023E-1,9.145950317E0,9.840000272E-1
3.093428210E-1,-1.909500062E-1,9.867000580E0,1.315950036E0
3.118505910E-1,-1.519500017E-1,1.038600063E1,1.963050127E0
3.143573420E-1,-7.605000585E-2,1.048200035E1,2.434050083E0
3.168634190E-1,9.795000404E-2,1.014405060E1,2.548950195E0
3.193702640E-1,2.269500047E-1,9.589050293E0,2.386950016E0
3.218778790E-1,2.299500108E-1,9.145950317E0,2.221050024E0
3.243847270E-1,1.459500045E-1,8.917950630E0,1.987050056E0
